split_strategy,model,rmse,mae,r2,weighted_mse
sequence,baseline_weekly_naive,110.56954801624029,61.943000242900446,0.8946143848715595,168.4023543458403
sequence,lstm_model,104.68406516040494,68.94930388211087,0.9055348922165798,146.11610876536918
